listing_id,zone,property_type,size_m2,bedrooms,bathrooms,age_years,floor,has_elevator,distance_to_business_km,distance_to_transit_km,view_quality,noise_level,has_security,has_pool,has_gym,has_social,furnished,balcony,garden,parking_spaces,pet_friendly,rent_price_gtq,price_per_m2,age_bucket,is_premium_zone
1,Zona 13,Apartamento,98,4,4,19,3,0,2.8,1.34,3,3,1,1,1,1,0,0,0,1,1,11380.37,116.13,16-30,0
2,Zona 7,Casa,115,3,3,21,0,0,3.83,1.46,3,3,1,0,0,0,0,1,0,2,1,8630.49,75.05,16-30,0
3,Zona 16,Apartamento,100,4,3,12,1,1,4.77,0.69,3,3,1,0,0,0,0,0,1,2,0,12083.61,120.84,6-15,0
4,Zona 10,Apartamento,87,3,2,1,18,1,0.47,0.87,3,3,1,1,1,0,0,0,0,1,0,13863.54,159.35,0-5,1
5,Zona 10,Apartamento,83,3,2,8,16,1,0.71,1.86,2,3,1,1,1,1,0,0,0,1,0,12595.4,151.75,6-15,1
6,Zona 14,Apartamento,76,3,2,12,9,1,1.87,1.52,4,1,1,1,0,1,0,1,0,1,1,12915.36,169.94,6-15,1
7,Zona 15,Apartamento,80,3,1,2,9,1,2.17,1.65,2,4,1,1,1,1,0,0,0,1,1,10923.33,136.54,0-5,1
8,Zona 10,Apartamento,71,3,3,20,17,1,1.31,1.06,3,3,0,1,1,1,0,0,0,0,0,9602.25,135.24,16-30,1
9,Zona 18,Casa,193,6,5,16,0,0,4.91,3.69,5,1,0,0,0,0,0,1,0,1,0,13023.12,67.48,16-30,0
10,Zona 15,Casa,134,4,3,10,0,0,2.23,3.02,2,4,1,1,1,0,0,1,0,0,1,15629.06,116.63,6-15,1
11,Zona 4,Casa,123,4,3,15,0,0,0.83,0.67,2,4,1,0,1,1,0,0,0,0,0,11813.4,96.04,6-15,0
12,Carretera al Salvador,Casa,128,4,3,17,0,0,8.27,3.76,3,3,0,0,1,1,0,0,1,0,0,11564.06,90.34,16-30,0
13,Zona 10,Apartamento,67,2,1,14,14,1,0.92,3.08,2,3,1,0,0,1,0,1,0,0,1,9657.84,144.15,6-15,1
14,Zona 10,Casa,70,2,2,16,0,0,0.2,0.99,1,4,0,0,0,0,0,1,0,1,0,8289.81,118.43,16-30,1
15,Zona 14,Apartamento,87,3,2,2,8,1,0.96,1.26,2,3,1,0,0,1,0,1,0,1,0,13936.57,160.19,0-5,1
16,Zona 4,Apartamento,117,4,4,3,4,1,1.46,1.48,3,2,1,0,0,0,0,0,0,1,0,14658.33,125.28,0-5,0
